verification_list_id,year,industry,institution_name,institution_uscc,target_order,target_entity_name,target_uscc,timeliness,result,pdf_url,pdf_filename
VER-0001,2023,造纸,上海环科环境认证有限公司,91310104744923836T,1,上海东冠纸业有限公司,91310000747642554R,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/d291f872aa364ebdb3c36427841a8584.pdf,d291f872aa364ebdb3c36427841a8584.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,1,默伊维化工（上海）有限公司,91310000582115712Y,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,2,上海金菲石油化工有限公司,91310000607340044J,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,3,上海阿科玛双氧水有限公司,913100006073535312,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,4,上海金森石油树脂有限公司,91310000607395336K,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,5,特创工程塑料（上海）有限公司,91310000607409777B,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,6,三菱瓦斯化学工程塑料（上海）有限公司,91310000691624348J,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,7,上海联恒异氰酸酯有限公司,91310000710936620B,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,8,上海亨斯迈聚氨酯有限公司,913100007109366398,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,9,上海赛科石油化工有限责任公司,913100007109384740,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,10,上海中石化高桥化工材料有限公司,913100007178655463,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,11,上海石化林德气体有限责任公司,91310000717866303H,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,12,三菱化学化工原料（上海）有限公司,913100007178697748,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,13,上海华林工业气体有限公司,9131000076649864XN,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,14,中国石化上海高桥石油化工有限公司,91310000MA1K38CF47,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,15,上海宝闵工业气体有限公司,91310112554298005D,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,16,林德（上海）半导体气体有限公司,913101157030121636,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0002,2023,化工,上海环科环境认证有限公司,91310104744923836T,17,上海金发科技发展有限公司,91310118729502814M,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/075bf9c47012492c96f5fc17141cfbdb.pdf,075bf9c47012492c96f5fc17141cfbdb.pdf
VER-0003,2023,石化,上海环科环境认证有限公司,91310104744923836T,1,中国石化上海高桥石油化工有限公司,91310000MA1K38CF47,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/b403616b91ca4b6c826f3ef0b24f2ac3.pdf,b403616b91ca4b6c826f3ef0b24f2ac3.pdf
VER-0003,2023,石化,上海环科环境认证有限公司,91310104744923836T,2,上海雪垠化工有限公司,91310116690160449M,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/b403616b91ca4b6c826f3ef0b24f2ac3.pdf,b403616b91ca4b6c826f3ef0b24f2ac3.pdf
VER-0004,2022,造纸,上海环科环境认证有限公司,91310104744923836T,1,上海东冠纸业有限公司,91310000747642554R,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/1b8bab1d531e4e54931507e1237a756f.pdf,1b8bab1d531e4e54931507e1237a756f.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,1,默伊维化工（上海）有限公司,91310000582115712Y,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,2,上海金菲石油化工有限公司,91310000607340044J,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,3,上海阿科玛双氧水有限公司,913100006073535312,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,4,上海金森石油树脂有限公司,91310000607395336K,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,5,特创工程塑料（上海）有限公司,91310000607409777B,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,6,三菱瓦斯化学工程塑料（上海）有限公司,91310000691624348J,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,7,上海联恒异氰酸酯有限公司,91310000710936620B,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,8,上海亨斯迈聚氨酯有限公司,913100007109366398,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,9,上海赛科石油化工有限责任公司,913100007109384740,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,10,上海中石化高桥化工材料有限公司,913100007178655463,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,11,上海石化林德气体有限责任公司,91310000717866303H,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,12,三菱化学化工原料（上海）有限公司,913100007178697748,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,13,上海华林工业气体有限公司,9131000076649864XN,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,14,中国石化上海高桥石油化工有限公司,91310000MA1K38CF47,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,15,上海宝闵工业气体有限公司,91310112554298005D,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,16,林德（上海）半导体气体有限公司,913101157030121636,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0005,2022,化工,上海环科环境认证有限公司,91310104744923836T,17,上海金发科技发展有限公司,91310118729502814M,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/4aae8868d1bd445db7873dc4ee5ba849.pdf,4aae8868d1bd445db7873dc4ee5ba849.pdf
VER-0006,2022,石化,上海环科环境认证有限公司,91310104744923836T,1,中国石化上海高桥石油化工有限公司,91310000MA1K38CF47,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/05f3d0859c39435faa05619ec28e4b01.pdf,05f3d0859c39435faa05619ec28e4b01.pdf
VER-0006,2022,石化,上海环科环境认证有限公司,91310104744923836T,2,上海雪垠化工有限公司,91310116690160449M,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/02/06/05f3d0859c39435faa05619ec28e4b01.pdf,05f3d0859c39435faa05619ec28e4b01.pdf
VER-0007,2022,石化,上海市环境科学研究院,12310000425003602F,1,中国石化上海石油化工股份有限公司,91310000132212291W,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/ecea747922f34c40a5919fb01c3867bd.pdf,ecea747922f34c40a5919fb01c3867bd.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,1,英威达尼龙化工（中国）有限公司,91310000060899994C,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,2,中国石化上海石油化工股份有限公司,91310000132212291W,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,3,上海中石化三井弹性体有限公司,91310000596423505P,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,4,上海氯碱化工股份有限公司,91310000607200180E,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,5,远纺工业（上海）有限公司,913100006073596427,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,6,明尼苏达矿业制造特殊材料（上海）有限公司,91310000662410025C,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,7,亚东石化（上海）有限公司,91310000710936380G,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,8,科思创聚合物（中国）有限公司,913100007109365242,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,9,上海巴斯夫聚氨酯有限公司,91310000710936612G,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,10,巴斯夫化工有限公司,91310000710937834B,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,11,上海化学工业区工业气体有限公司,913100007333773231,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,12,赢创特种化学（上海）有限公司,91310000766462540L,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,13,罗姆化学（上海）有限公司,91310000MA1HQDP00B,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,14,上海华谊能源化工有限公司,91310112132284914U,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,15,盛联精密气体（上海）有限公司,913101157362171814,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,16,上海元邦化工制造有限公司,91310115751494902Y,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,17,巴斯夫聚氨酯特种产品（中国）有限公司,91310115767242582D,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,18,上海抚佳精细化工有限公司,91310116662495241T,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0008,2022,化工,上海市环境科学研究院,12310000425003602F,19,上海华谊新材料有限公司,913101200678100408,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/a58251ba81aa4ffb8b768015c109ec29.pdf,a58251ba81aa4ffb8b768015c109ec29.pdf
VER-0009,2022,化工,上海市节能减排中心有限公司,91310101557477009W,1,宝武碳业科技股份有限公司,91310113132230684W,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/62da4d0bbf7b4a2eae5ff5bb7ef46f76.pdf,62da4d0bbf7b4a2eae5ff5bb7ef46f76.pdf
VER-0010,2022,国内民用航空,上海环境保护有限公司,91310112132623736D,1,上海虹桥国际机场有限责任公司,91310000MA1FN0GW11,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/843566c62a2a4d8687eec335c5f5e6da.pdf,843566c62a2a4d8687eec335c5f5e6da.pdf
VER-0010,2022,国内民用航空,上海环境保护有限公司,91310112132623736D,2,上海国际机场股份有限公司浦东国际机场,91310000MABRP58N0X,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/843566c62a2a4d8687eec335c5f5e6da.pdf,843566c62a2a4d8687eec335c5f5e6da.pdf
VER-0011,2023,国内民用航空,上海环境保护有限公司,91310112132623736D,1,上海虹桥国际机场有限责任公司,91310000MA1FN0GW11,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/88c72d6cb8ef40d1883ab91c20aacf42.pdf,88c72d6cb8ef40d1883ab91c20aacf42.pdf
VER-0011,2023,国内民用航空,上海环境保护有限公司,91310112132623736D,2,上海国际机场股份有限公司浦东国际机场,91310000MABRP58N0X,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/88c72d6cb8ef40d1883ab91c20aacf42.pdf,88c72d6cb8ef40d1883ab91c20aacf42.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,1,英威达尼龙化工（中国）有限公司,91310000060899994C,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,2,中国石化上海石油化工股份有限公司,91310000132212291W,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,3,上海中石化三井弹性体有限公司,91310000596423505P,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,4,上海氯碱化工股份有限公司,91310000607200180E,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,5,远纺工业（上海）有限公司,913100006073596427,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,6,明尼苏达矿业制造特殊材料（上海）有限公司,91310000662410025C,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,7,亚东石化（上海）有限公司,91310000710936380G,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,8,科思创聚合物（中国）有限公司,913100007109365242,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,9,上海巴斯夫聚氨酯有限公司,91310000710936612G,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,10,巴斯夫化工有限公司,91310000710937834B,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,11,上海化学工业区工业气体有限公司,913100007333773231,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,12,赢创特种化学（上海）有限公司,91310000766462540L,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,13,罗姆化学（上海）有限公司,91310000MA1HQDP00B,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,14,上海华谊能源化工有限公司,91310112132284914U,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,15,盛联精密气体（上海）有限公司,913101157362171814,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,16,上海元邦化工制造有限公司,91310115751494902Y,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,17,巴斯夫聚氨酯特种产品（中国）有限公司,91310115767242582D,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,18,上海抚佳精细化工有限公司,91310116662495241T,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0012,2023,化工,上海市环境科学研究院,12310000425003602F,19,上海华谊新材料有限公司,913101200678100408,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/30ed2c6b2f3b498b8ee6b7173e156fa6.pdf,30ed2c6b2f3b498b8ee6b7173e156fa6.pdf
VER-0013,2023,化工,上海市节能减排中心有限公司,91310101557477009W,1,宝武碳业科技股份有限公司,91310113132230684W,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/7e28c3c8fa16413e9b53ad8e53af8206.pdf,7e28c3c8fa16413e9b53ad8e53af8206.pdf
VER-0014,2022,钢铁,上海市节能减排中心有限公司,91310101557477009W,1,上海实达精密不锈钢有限公司,913100006073458659,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/eb2752a93bab419fa404bb7053308ec5.pdf,eb2752a93bab419fa404bb7053308ec5.pdf
VER-0014,2022,钢铁,上海市节能减排中心有限公司,91310101557477009W,2,宝山钢铁股份有限公司,91310000631696382C,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/eb2752a93bab419fa404bb7053308ec5.pdf,eb2752a93bab419fa404bb7053308ec5.pdf
VER-0014,2022,钢铁,上海市节能减排中心有限公司,91310101557477009W,3,上海宝钢汽车板有限公司,91310000717851785T,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/eb2752a93bab419fa404bb7053308ec5.pdf,eb2752a93bab419fa404bb7053308ec5.pdf
VER-0014,2022,钢铁,上海市节能减排中心有限公司,91310101557477009W,4,宝钢特钢长材有限公司,91310113MA1GK9CA5G,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/eb2752a93bab419fa404bb7053308ec5.pdf,eb2752a93bab419fa404bb7053308ec5.pdf
VER-0014,2022,钢铁,上海市节能减排中心有限公司,91310101557477009W,5,宝武特种冶金有限公司,91310113MA1GMWN23K,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/eb2752a93bab419fa404bb7053308ec5.pdf,eb2752a93bab419fa404bb7053308ec5.pdf
VER-0015,2023,石化,上海市环境科学研究院,12310000425003602F,1,中国石化上海石油化工股份有限公司,91310000132212291W,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/39ce71f7c9a94598b0b0f1d2a651a24d.pdf,39ce71f7c9a94598b0b0f1d2a651a24d.pdf
VER-0016,2023,钢铁,上海市节能减排中心有限公司,91310101557477009W,1,上海实达精密不锈钢有限公司,913100006073458659,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/1650bd98db6b4b6c92bce409f12bea9b.pdf,1650bd98db6b4b6c92bce409f12bea9b.pdf
VER-0016,2023,钢铁,上海市节能减排中心有限公司,91310101557477009W,2,宝山钢铁股份有限公司,91310000631696382C,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/1650bd98db6b4b6c92bce409f12bea9b.pdf,1650bd98db6b4b6c92bce409f12bea9b.pdf
VER-0016,2023,钢铁,上海市节能减排中心有限公司,91310101557477009W,3,上海宝钢汽车板有限公司,91310000717851785T,及时,符合,https://certificate.cets.org.cn/rkcer/check/2026/01/30/1650bd98db6b4b6c92bce409f12bea9b.pdf,1650bd98db6b4b6c92bce409f12bea9b.pdf
